REGION,ST,SCHG,SCHL,SEX,WAGP,WKHP,WKW,YOEP,FOD1P,FOD2P,OCCP
3,10,,21.0,1,0.0,,,,6203.0,,
3,10,,22.0,1,37000.0,60.0,1.0,,4901.0,,420.0
3,10,,22.0,1,0.0,,,,6006.0,,
3,10,16.0,22.0,1,0.0,,,,4801.0,,2320.0
3,10,,22.0,1,37000.0,60.0,1.0,,4901.0,,420.0
3,10,,21.0,1,0.0,,,1968.0,5901.0,,
3,10,,21.0,1,0.0,,,,6200.0,,
3,10,,22.0,1,37000.0,60.0,1.0,,4901.0,,420.0
3,10,,22.0,2,0.0,,,,2300.0,,
3,10,,21.0,1,0.0,,,,6200.0,,
3,10,,22.0,1,37000.0,60.0,1.0,,4901.0,,420.0
3,10,,22.0,2,0.0,,,,2300.0,,
3,10,,22.0,2,0.0,,,,5404.0,,
3,10,,21.0,2,0.0,,,1978.0,6105.0,,1970.0
3,10,,21.0,1,0.0,,,,5200.0,,6410.0
3,10,,21.0,2,0.0,,,,5507.0,,
3,10,,22.0,2,0.0,,,,6207.0,,3645.0
3,10,,21.0,2,0.0,,,1978.0,6105.0,,1970.0
3,10,,21.0,1,0.0,,,,6200.0,,
3,10,,22.0,2,0.0,,,,2304.0,,350.0
3,10,16.0,21.0,2,0.0,,,,1301.0,5501.0,5740.0
3,10,,21.0,1,0.0,,,,6200.0,,
3,10,,21.0,1,0.0,,,,6200.0,,
3,10,,21.0,1,0.0,,,,6206.0,,9645.0
3,10,,21.0,2,0.0,,,,5507.0,,
3,10,15.0,22.0,2,0.0,,,,6201.0,,350.0
3,10,,23.0,2,180000.0,60.0,1.0,1993.0,5098.0,,3090.0
3,10,,21.0,1,0.0,,,2000.0,2408.0,,
3,10,,21.0,1,0.0,,,,6200.0,,
3,10,,21.0,1,140000.0,40.0,1.0,,6200.0,,630.0
3,10,,21.0,1,0.0,,,,6203.0,,
3,10,,21.0,2,0.0,,,,3202.0,,120.0
3,10,15.0,21.0,2,0.0,,,,2304.0,,
3,10,,21.0,2,0.0,,,,1903.0,,310.0
3,10,,22.0,2,30000.0,40.0,1.0,2012.0,6207.0,,2205.0
3,10,,21.0,1,50000.0,38.0,1.0,,5301.0,,910.0
3,10,16.0,21.0,2,45000.0,40.0,1.0,,6206.0,,2634.0
3,10,,22.0,2,0.0,,,2006.0,2102.0,,
3,10,,21.0,1,100000.0,40.0,1.0,2002.0,5501.0,,705.0
3,10,,23.0,1,65000.0,45.0,1.0,,5506.0,,2100.0
3,10,,21.0,2,50000.0,35.0,1.0,2013.0,4101.0,,2861.0
3,10,,21.0,1,38000.0,40.0,1.0,,6201.0,6203.0,1050.0
3,10,,22.0,2,30000.0,35.0,2.0,,2300.0,,2016.0
3,10,,22.0,1,0.0,50.0,1.0,,2314.0,,4920.0
3,10,,21.0,2,0.0,,,,6107.0,,
3,10,,21.0,2,0.0,,,,2305.0,,5320.0
3,10,,21.0,2,70000.0,40.0,1.0,,4000.0,,350.0
3,10,,22.0,2,0.0,25.0,1.0,1983.0,3401.0,,4710.0
3,10,,21.0,1,0.0,,,,5506.0,,
3,10,,21.0,2,65000.0,40.0,1.0,,5301.0,,2145.0
3,10,15.0,21.0,2,6900.0,12.0,1.0,,6005.0,6004.0,4720.0
3,10,,21.0,2,160000.0,50.0,1.0,,5301.0,,3255.0
3,10,,21.0,1,0.0,,,,6200.0,,
3,10,,21.0,2,0.0,,,,6107.0,,
3,10,,23.0,1,250000.0,40.0,1.0,,5003.0,,3090.0
3,10,,21.0,1,1500.0,8.0,4.0,,2105.0,,8950.0
3,10,,21.0,2,30000.0,40.0,1.0,,6203.0,,5400.0
3,10,,21.0,1,55000.0,40.0,1.0,,6103.0,,1108.0
3,10,,22.0,2,67000.0,40.0,1.0,,6203.0,,2310.0
3,10,,21.0,1,33000.0,50.0,1.0,,5301.0,,3930.0
3,10,,21.0,1,0.0,,,,6200.0,,
3,10,,21.0,1,120000.0,42.0,1.0,,4101.0,,4820.0
3,10,,21.0,2,0.0,,,,2313.0,,2310.0
3,10,,23.0,2,32000.0,32.0,1.0,,2300.0,,2320.0
3,10,,21.0,2,65000.0,40.0,1.0,,2001.0,,2145.0
3,10,,21.0,1,55000.0,67.0,1.0,,3301.0,,3230.0
3,10,,22.0,1,0.0,40.0,1.0,,3301.0,,410.0
3,10,,23.0,1,125000.0,52.0,1.0,,2311.0,,2025.0
3,10,,21.0,1,50000.0,40.0,1.0,,3402.0,,20.0
3,10,,22.0,2,476000.0,70.0,1.0,1999.0,5507.0,,3330.0
3,10,,22.0,1,103000.0,40.0,1.0,1999.0,2400.0,,3255.0
3,10,,22.0,2,55000.0,45.0,1.0,,5301.0,,2012.0
3,10,,21.0,2,47600.0,40.0,1.0,,2901.0,,5165.0
3,10,,21.0,2,50000.0,35.0,1.0,,6107.0,,3255.0
3,10,,24.0,2,120000.0,50.0,1.0,,3600.0,,230.0
3,10,,21.0,1,0.0,60.0,1.0,1967.0,6200.0,,4700.0
3,10,,21.0,1,65000.0,40.0,1.0,,6207.0,,1410.0
3,10,,22.0,2,35000.0,50.0,1.0,,2300.0,,4965.0
3,10,,22.0,1,100000.0,40.0,1.0,,2414.0,,1460.0
3,10,,23.0,2,80000.0,30.0,1.0,,4101.0,,3160.0
3,10,,21.0,1,5000.0,1.0,6.0,,2405.0,2304.0,4760.0
3,10,,22.0,2,5500.0,35.0,1.0,,6102.0,,3230.0
3,10,,21.0,2,89000.0,40.0,1.0,,6203.0,,540.0
3,10,16.0,21.0,2,30000.0,42.0,5.0,,2304.0,,2310.0
3,10,,21.0,1,49000.0,40.0,1.0,,6203.0,,800.0
3,10,,22.0,1,90000.0,40.0,1.0,2005.0,2408.0,,1006.0
3,10,,22.0,2,0.0,,,2005.0,6203.0,,
3,10,,22.0,1,70000.0,40.0,1.0,,2300.0,,2310.0
3,10,,21.0,2,80000.0,40.0,1.0,,6203.0,,440.0
3,10,15.0,21.0,1,25000.0,40.0,1.0,,2304.0,,8740.0
3,10,,22.0,2,130000.0,40.0,1.0,,3600.0,,1760.0
3,10,,21.0,2,40000.0,45.0,1.0,,5200.0,,2014.0
3,10,,21.0,1,62000.0,48.0,1.0,,6207.0,,565.0
3,10,,21.0,2,35000.0,40.0,1.0,,4007.0,,4110.0
3,10,,21.0,2,0.0,,,,2300.0,,8740.0
3,10,,21.0,1,140000.0,50.0,1.0,,5301.0,,3930.0
3,10,16.0,21.0,2,0.0,,,,2300.0,,2310.0
3,10,,21.0,1,10000.0,25.0,4.0,,5200.0,,9410.0
3,10,,21.0,1,0.0,,,,5501.0,,